data,dove,titolo,link
2017/07/19,Adnkronos,"Italia in fiamme, ecco la mappa degli incendi",http://www.adnkronos.com/fatti/cronaca/2017/07/19/italia-fiamme-ecco-mappa-degli-incendi_r5OMdpAs5hXcZvMBX9xS7N.html?refresh_ce
2017/07/19,Key4Biz.it,"Italia in fiamme, danni per 900 milioni. Gli open data disegnano la mappa interattiva degli incendi",https://www.key4biz.it/italia-fiamme-danni-900-milioni-gli-open-data-disegnano-la-mappa-interattiva-degli-incendi/196755/
2017/07/24,SkyTG24,"Incendi, le mappe per restare aggiornati sulla situazione",http://tg24.sky.it/cronaca/2017/07/19/incendi-italia-mappa.html
2017/07/25,IlSicilia.it,"Italiaafuoco.info, ecco la prima mappa delle notizie sugli incendi",http://www.ilsicilia.it/online-la-prima-mappa-delle-notizie-sugli-incendi/
2017/7/27,CittadinidiTwitter,"Italia a Fuoco: la mappa degli incendi interattiva e open",http://www.cittadiniditwitter.it/emergenze-e-social/italia-a-fuoco-la-mappa-degli-incendi-interattiva-e-open/
